Article Title,Author,Journal Title,International,Subjects,Keywords,text
Abstracts.,,European Journal of Industrial Relations,1,UNEMPLOYMENT; SWITZERLAND; EUROPE; JOB security,,"The article presents abstracts on several research related to industrial relations in Europe which include ""Determinants of job insecurity in five European countries,"" by Rafael Muñoz de Bustillo and Pablo de Pedraza, ""What explains high unemployment among low-skilled workers? Evidence from 21 OECD countries,"" by Daniel Oesch, and ""Policy concertation, Europeanization and new political cleavages: The case of Switzerland,"" by Alexandre Afonso."
Abstracts.,,Osteuropa,1,NATURAL resources; AUTHORITARIANISM; RESISTANCE to government; RESEARCH,,"This section presents abstracts of articles published in this issue including natural resource abundance and authoritarianism in former Soviet republics, university research on Eastern Europe in Germany and the poetics of resistance and the rediscovery of Jewry in the late Soviet era."
Abstracts.,,Zeitschrift für Politikwissenschaft,1,POLITICAL science; PRACTICAL politics,,"The article presents abstracts on political topics which include the international rankings of performance indicators in the German policy process, the dilemmas of democracy: reflections on the relationship between representation and participation, and institutional rules, social structure and representation in North Rhine-Westphalia 1989-2011."
Abstracts.,,Politik,1,RIGHT of asylum; IMMIGRATION law; INTERNATIONAL relations; DENMARK; EUROPEAN Union,,
Abstracts.,,Politik,1,POLITICAL corruption; MASS media; SOCIAL networks; BLAME,,
Abstracts.,,Politik,1,SOVEREIGNTY; GEOPOLITICS; GREENLAND; INUIT,,
Abstracts.,,Comparative Politics,0,POSTCOMMUNISM; EQUALITY; PATRON & client; VIETNAM; CHINA; RWANDA; UGANDA,,"The article presents abstracts on topics related to comparative politics which include postcommunism, inequality in Vietnam and China and patronage in Rwanda and Uganda."
Abstracts.,,Zeitschrift für Sozialreform,1,PUBLIC welfare policy; GERMANY,,"The article presents abstracts on social welfare politics in Germany which include for example the German debate on social justice, the bureaucracy in the German Federal Employment Service, or how German activation schemes affect the psychological status of participants."
Abstracts.,,Rivista di Studi Politici Internazionali,1,ISLAM & politics; CHINA-Russia relations,,"The article presents abstracts on socio-political topics which include Islam's influence on statehood and the Western world, Russia's and China's influence on the world order, and Russia's coercive diplomatic policies."
Abstracts.,,"French Politics, Culture & Society",1,"POLICE; FRANCE; INTERNATIONAL Business Machines Corp.; RACE in motion pictures; FRENCH films; FRENCH studies; TOCQUEVILLE, Alexis de, 1805-1859",,"Abstracts on subjects related to the study of France are presented which include one on the views on education forwarded by French author Alexis de Tocqueville in his book ""Democracy in America,"" one on the use of IBM machines by the police of Paris, France to keep track of migrant Algerian workers during the Algerian War, and one on the history of interracial romances in French films from the 1980s to the twenty-first century."
Abstracts.,,Politica: Tidsskrift for Politisk Videnskab,1,POLITICAL parties; POLITICAL communication; DENMARK; TELEVISION broadcasting of news,,
Abstracts.,,International Affairs,0,"INTERNATIONAL relations; ISLAMIC fundamentalism; INTERNATIONAL relations & culture; WILSON, Woodrow, 1856-1924",,"The article presents abstracts on topics which include culture and international society, the foreign policy of U.S. President Woodrow Wilson and an assessment of Islamic radicalization in Russia."
Abstracts.,,International Social Science Journal,0,SOCIAL sciences; POLITICAL anthropology; COLLECTIVE memory; WAR,,"The article presents abstracts on social science topics such as political anthropology as an academic discipline, cultural pluralism in Mexico, and the collective memory of civil war in Lebanon."
Abstracts.,,Rivista di Studi Politici Internazionali,1,INTERNATIONAL relations; INTERNATIONAL economic relations; EUROPEAN Union,,"The article presents abstracts on topics related to international relations and economy which include trans-Atlantic relations and world governance, religion and American foreign policy and European Union (EU)."
Abstracts.,,Comparative Politics,0,LABOR unions; FISCAL policy; DICTATORSHIP,,
Abstracts.,,Politik,1,MUNICIPAL government; LOCAL government; PUBLIC schools; DENMARK,,
Abstracts.,,Politica: Tidsskrift for Politisk Videnskab,1,PUBLIC administration; LEADERSHIP; BUREAUCRACY; MUNICIPAL government; POLICY sciences,,
Abstracts.,,Osteuropa,1,"CIVIL war; INTERNATIONAL relations; SYRIAN Civil War, 2011-; RUSSIA -- Foreign relations -- 1991-; SYRIA -- Politics & government -- 2000-",,"This article presents abstracts of articles published within the issue including ""A Way Out of the Civil War in Syria,"" ""Unholy Alliance"" and ""Russia and the War in Syria."""
Abstracts.,,Comparative Politics,0,CHURCH & state; DEMOCRACY; POLITICAL science; POLITICAL autonomy,,"The article presents abstracts related to politics and government including an examination of the impact of church-state relations on civil society, a discussion of human empowerment and democracy and an exploration of autonomy in Bolivia and Ecuador."
Abstracts.,,Osteuropa,1,"POLITICAL persecution; SOVIET Union; MUSICAL composition; MOTION picture music; VAINBERG, M. (Moisei), 1919-1996",,"The article presents abstracts related to the music of Mieczysław Weinberg, including violence in the 20th century as a central theme in Weinberg's works, the persecution of musicians in the Soviet Union and Winberg's compositions for the film industry."
Abstracts.,,Revista Española de Ciencia Política,1,SPAIN; EUROPEAN Union; EUROPEAN Union -- Politics & government; SPAIN -- Politics & government -- 1975-2014,,"Abstracts are presented for the articles published in this issue of the journal including ""The ‘intersectionality’ of gender with other inequalities in the European Union politics"" by Emanuela Lombardo and Mieke Verloom, ""Cultural framing and voter turnout in Catalonia"" by Xavier Fernández-i-Marín and Jaume López and ""Foreign residents and political corruption. Spanish local elections 2007"" by Rafel Durán Muñoz."
Abstracts.,,Revista Española de Ciencia Política,1,POLITICAL science; POLITICAL parties; PUBLIC administration; EUROPEAN Union countries,,"Abstracts are presented for articles published in this issue of the journal, including ""An elusive pray: government performance,"" by Xavier Ballart, ""'Zejas' and 'Rajoy's little girl'. An Analysis of the role of humour in the 2008 Spanish general elections,"" by Carmelo Moreno del Río, and ""Multi-level governance checked over,"" by Cristina Ares Castro-Conde."
Abstracts.,,Comparative Politics,0,CIVIL-military relations; ECONOMIC policy; LATIN America; AMERICAN military bases; LATIN America -- Politics & government -- 1980-,,"Abstracts are presented for several featured articles within the July 2010 issue, including ""Civilian Praetorianism and Military Shirking During Constitutional Crises in Latin America,"" by David Pion-Berlin and Harold Trinkunas, ""Statist vs. Pro-Market: Explaining Leftist Governments' Economic Policies in Latin America,"" by Gustavo A. Flores-Macías, and ""Ideas and Institutions in Contentious Politics: Anti-U.S. Base Movements in Ecuador and Italy,"" by Andrew Yeo."
Abstracts.,,Osteuropa,1,WORLD politics; UKRAINE -- Politics & government,,"The article presents abstracts on Ukrainian politics, including the articles ""Collapse and a New Beginning: The Ukrainian Revolution and Its Enemies"" by Gerhard Simon, ""Domestic Origins of the Ukrainian Crisis: The Overwhelming Challenge of Simultaneous Democratisation and State-Building"" by Petra Stykow and ""The Crimean Crisis of 2014: Aspects of Constitutional and International Law"" by Otto Luchterhandt."
Abstracts.,,Orient (00305227),1,JIHAD; DEMOCRACY; IRAQ; IRAQ -- Politics & government,,"Abstracts for several articles published in the April 2011 issue of ""Orient"" are presented, including ""Democratic Beacon in Iraq: Dim Light Indeed,"" by Robert Springborg, ""Jihadi Factions in Iraq,"" by Jalil Roshandel, and ""Iraqi Women: Historical and Contemporary Perspectives,"" by Nadje Al-Ali."
Abstracts.,,Comparative Politics,0,IMMIGRATION law; REVERSE discrimination in employment; JUDICIAL independence; POLITICAL doctrines; LATIN America,,"The article presents abstracts on subjects of comparative politics including group representation, the politics of immigration, and independent judicial institutions in Latin America."
